address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"25 Queen St, Lakefield",X12315517,inactive,475000,,,1,984,0,0,0,0,,0,,4211,,,,,,
"65 Glenelg St W, Lindsay",X12158767,active,1500000,,,3,8731,0,4,1,3,2,0,,22715,,,,,,
"40 Lindsay St N, Lindsay",X12075517,active,995000,,,1,9036,0,0,0,0,0,0,,22335,,,,,,
"36 Lindsay St S, Lindsay",X12330228,active,2900000,,,3,6061,9,0,0,0,0,0,,6775,,,,,,
"23 William St N, Lindsay",X12422501,active,1050000,,,2,1750,0,0,0,0,0,3,,7054,,,,,,
"27 William St N, Lindsay",X12284085,inactive,500000,,,1,1600,0,0,0,0,0,0,,5444,,,,,,
"35 William St N, Lindsay",X12568966,inactive,530000,,,3,1856,0,0,1,0,0,0,,4906,,,,,,
"47-49 William St N, Lindsay",X12266707,active,2700000,,,2,9865,0,0,0,0,0,5,,10303,,,,,,
"132 William St N, Lindsay",X12287637,inactive,700000,,,1,,0,0,0,0,0,0,,8020,,,,,,
"42 Durham St S, Madoc",X12796718,active,3125000,,,1,6695,0,0,0,0,0,0,,6397,,,,,,
"297-301 St Lawerence St E, Madoc",X12384936,active,2050000,,,2,14850,0,3,15,0,,0,,19114.57,,,,,,
"1 Forsyth St, Marmora",X12311242,inactive,1280000,,,2,4033,0,2,4,1,0,0,,4047,,,,,,
"111 St Lawrence St, Merickville",X12172773,active,3900000,,,3,28000,0,0,0,0,,2,,28349,,,,,,
"25 King St E, Millbrook",X12259918,active,1450000,,,2,7337,0,4,4,0,0,0,,6831,,,,,,
"28 King St E, Millbrook",X12409346,active,600000,,,3,3100,0,0,2,0,0,0,,2528,,,,,,
"32 King St E, Millbrook",X12078984,inactive,1250000,,,3,2239,0,0,0,0,,4,,4712,,,,,,
"191-193 Camden Road, Napanee",X12688440,active,775000,,,2,4250,0,2,3,0,0,0,,4540,,,,,,
"19-21 Dundas St E, Napanee",X12007727,active,500000,,,3,5338,0,2,1,0,,0,,5835,,,,,,
"41 Dundas St E, Napanee",???,active,1325000,,,3,3470,0,6,0,0,,0,,4238,,,,,,
"48 Dundas St E, Napanee",X12173353 ,active,700000,,,2,2675,1,1,0,0,,0,,3754,,,,,,
"19-21 Dundas St W, Napanee",X12020320,active,450000,,,2,2471,0,0,0,0,,2,,3694,,,,,,
"133-135 John St, Napanee",X12167083,inactive,390000,,,3,3950,0,0,0,0,,2,,4843,,,,,,
